school_name,city_state,district,rank_state_elementary,grade_level,enrollment,student_teacher_ratio,description,source_page,source_raw_school_name
Pecan Trail Int,"College Station, TX",College Station Independent School District,1145.0,5-6,782,16:1,"Pecan Trail Int is a  school located in College Station, TX, which is in a mid-size city setting.  The student population of Pecan Trail Int is 782, and the school serves 5 through 6 At Pecan Trail Int,...",115,Pecan TrailInt
Vanguard Picasso,"Pharr, TX",,1146.0,PK-5,593,17:1,"Vanguard Picasso is a  school located in Pharr, TX, which is in a small city setting.  The student population of Vanguard Picasso is 593, and the school serves PK through 5 At Vanguard Picasso, 53% scored...",115,VanguardPicasso
Morgan Elementary Magnet School,"Galveston, TX",Galveston Independent School District,1147.0,PK-4,572,14:1,"Morgan Elementary Magnet School is a  school located in Galveston, TX, which is in a small city setting.  The student population of Morgan Elementary Magnet School is 572, and the school serves PK through...",115,Morgan Elementary MagnetSchool
Horizon Montessori - Stem Academy,"McAllen, TX",,1148.0,PK-8,342,13:1,"Horizon Montessori - Stem Academy is a  school located in McAllen, TX, which is in a mid-size city setting.  The student population of Horizon Montessori - Stem Academy is 342, and the school serves PK...",115,Horizon Montessori - StemAcademy
Mesita Elementary,"El Paso, TX",El Paso Independent School District,1149.0,PK-5,933,15:1,"Mesita Elementary is a  school located in El Paso, TX, which is in a large city setting.  The student population of Mesita Elementary is 933, and the school serves PK through 5 At Mesita Elementary, 53%...",115,MesitaElementary
Blanton Elementary,"Lantana, TX",Denton Independent School District,1150.0,PK-5,519,13:1,"Blanton Elementary is a  school located in Lantana, TX, which is in a large suburb setting.  The student population of Blanton Elementary is 519, and the school serves PK through 5 At Blanton Elementary,...",115,BlantonElementary
Nancy Moseley Elementary,"Dallas, TX",Dallas Independent School District,1151.0,PK-5,663,14:1,"Nancy Moseley Elementary is a  school located in Dallas, TX, which is in a large city setting.  The student population of Nancy Moseley Elementary is 663, and the school serves PK through 5 At Nancy Moseley...",116,Nancy MoseleyElementary
Mittelstadt Elementary,"Klein, TX",Klein Independent School District,1152.0,PK-5,825,14:1,"Mittelstadt Elementary is a  school located in Klein, TX, which is in a large suburb setting.  The student population of Mittelstadt Elementary is 825, and the school serves PK through 5 At Mittelstadt...",116,MittelstadtElementary
Truman Elementary,"Edinburg, TX",,1153.0,PK-5,709,16:1,"Truman Elementary is a  school located in Edinburg, TX, which is in a mid-size city setting.  The student population of Truman Elementary is 709, and the school serves PK through 5 At Truman Elementary,...",116,TrumanElementary
West Elementary,"West, TX",West Independent School District,1154.0,PK-5,605,14:1,"West Elementary is a  school located in West, TX, which is in a distant rural setting.  The student population of West Elementary is 605, and the school serves PK through 5 At West Elementary, 64% scored...",116,WestElementary
Charlotte Anderson Preparatory Academy,"Arlington, TX",Mansfield Independent School District,1155.0,PK-4,396,12:1,"Charlotte Anderson Preparatory Academy is a  school located in Arlington, TX, which is in a large city setting.  The student population of Charlotte Anderson Preparatory Academy is 396, and the school...",116,Charlotte Anderson PreparatoryAcademy
Julius Dorsey Leadership Academy,"Dallas, TX",Dallas Independent School District,1156.0,PK-5,395,14:1,"Julius Dorsey Leadership Academy is a  school located in Dallas, TX, which is in a large city setting.  The student population of Julius Dorsey Leadership Academy is 395, and the school serves PK through...",116,Julius Dorsey LeadershipAcademy
Jane A Hambric School,"El Paso, TX",Socorro Independent School District,1157.0,PK-8,784,18:1,"Jane A Hambric School is a  school located in El Paso, TX, which is in a large city setting.  The student population of Jane A Hambric School is 784, and the school serves PK through 8 At Jane A Hambric...",116,Jane A HambricSchool
Cushing Elementary,"Cushing, TX",Cushing Independent School District,1158.0,PK-5,257,14:1,"Cushing Elementary is a  school located in Cushing, TX, which is in a remote rural setting.  The student population of Cushing Elementary is 257, and the school serves PK through 5 At Cushing Elementary,...",116,CushingElementary
Ft Sam Houston Elementary,"San Antonio, TX",Ft Sam Houston Independent School District,1159.0,PK-5,823,12:1,"Ft Sam Houston Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Ft Sam Houston Elementary is 823, and the school serves PK through 5 At Ft...",116,Ft Sam HoustonElementary
New Waverly Elementary,"New Waverly, TX",New Waverly Independent School District,1160.0,PK-3,301,13:1,"New Waverly Elementary is a  school located in New Waverly, TX, which is in a fringe rural setting.  The student population of New Waverly Elementary is 301, and the school serves PK through 3 At New Waverly...",116,New WaverlyElementary
Santo Nino Elementary,"Laredo, TX",Laredo Independent School District,1161.0,PK-5,541,16:1,"Santo Nino Elementary is a  school located in Laredo, TX, which is in a large city setting.  The student population of Santo Nino Elementary is 541, and the school serves PK through 5 At Santo Nino Elementary,...",117,Santo NinoElementary
South Athens Elementary,"Athens, TX",Athens Independent School District,1162.0,PK-5,460,15:1,"South Athens Elementary is a  school located in Athens, TX, which is in a distant town setting.  The student population of South Athens Elementary is 460, and the school serves PK through 5 At South Athens...",117,South AthensElementary
Nixon Smiley Elementary,"Smiley, TX",,1163.0,PK-4,434,14:1,"Nixon Smiley Elementary is a  school located in Smiley, TX, which is in a remote rural setting.  The student population of Nixon Smiley Elementary is 434, and the school serves PK through 4 At Nixon Smiley...",117,Nixon SmileyElementary
De Zavala Elementary,"Houston, TX",Houston Independent School District,1164.0,PK-5,232,9:1,"De Zavala Elementary is a  school located in Houston, TX, which is in a large city setting.  The student population of De Zavala Elementary is 232, and the school serves PK through 5 At De Zavala Elementary,...",117,De ZavalaElementary
Macaria Dela Garza Gorena Elementary,"Edinburg, TX",,1165.0,PK-5,605,16:1,"Macaria Dela Garza Gorena Elementary is a  school located in Edinburg, TX, which is in a mid-size city setting.  The student population of Macaria Dela Garza Gorena Elementary is 605, and the school serves...",117,Macaria Dela Garza GorenaElementary
Smith Elementary,"Richmond, TX",,1166.0,PK-5,335,12:1,"Smith Elementary is a  school located in Richmond, TX, which is in a large suburb setting.  The student population of Smith Elementary is 335, and the school serves PK through 5 At Smith Elementary, 52%...",117,SmithElementary
T Sanchez Elementary / H Ochoa Elementary,"Laredo, TX",Laredo Independent School District,1167.0,PK-5,578,16:1,"T Sanchez Elementary / H Ochoa Elementary is a  school located in Laredo, TX, which is in a large city setting.  The student population of T Sanchez Elementary / H Ochoa Elementary is 578, and the school...",117,T Sanchez Elementary / H OchoaElementary
Sam Houston Elementary,"Corsicana, TX",Corsicana Independent School District,1168.0,PK-4,427,17:1,"Sam Houston Elementary is a  school located in Corsicana, TX, which is in a distant town setting.  The student population of Sam Houston Elementary is 427, and the school serves PK through 4 At Sam Houston...",117,Sam HoustonElementary
Lakewood Elementary,"Euless, TX",Hurst-Euless-Bedford Independent School District,1169.0,PK-6,568,15:1,"Lakewood Elementary is a  school located in Euless, TX, which is in a large suburb setting.  The student population of Lakewood Elementary is 568, and the school serves PK through 6 At Lakewood Elementary,...",117,LakewoodElementary
Olmos Elementary,"San Antonio, TX",North East Independent School District,1170.0,K-5,501,11:1,"Olmos Elementary is a  school located in San Antonio, TX, which is in a large city setting.  The student population of Olmos Elementary is 501, and the school serves K through 5 At Olmos Elementary, 57%...",117,OlmosElementary
Claybon Elementary,"Forney, TX",Forney Independent School District,1171.0,K-4,553,15:1,"Claybon Elementary is a  school located in Forney, TX, which is in a fringe town setting.  The student population of Claybon Elementary is 553, and the school serves K through 4 At Claybon Elementary,...",118,ClaybonElementary
Dr Martin Luther King Junior Arts Academy,"Dallas, TX",Dallas Independent School District,1172.0,PK-8,468,10:1,"Dr Martin Luther King Junior Arts Academy is a  school located in Dallas, TX, which is in a large city setting.  The student population of Dr Martin Luther King Junior Arts Academy is 468, and the school...",118,Dr Martin Luther King Junior ArtsAcademy
South Lawn Elementary,"Amarillo, TX",Amarillo Independent School District,1173.0,PK-5,315,15:1,"South Lawn Elementary is a  school located in Amarillo, TX, which is in a mid-size city setting.  The student population of South Lawn Elementary is 315, and the school serves PK through 5 At South Lawn...",118,South LawnElementary
Sharp Elementary,"Brownsville, TX",Brownsville Independent School District,1174.0,PK-5,465,17:1,"Sharp Elementary is a  school located in Brownsville, TX, which is in a mid-size city setting.  The student population of Sharp Elementary is 465, and the school serves PK through 5 At Sharp Elementary,...",118,SharpElementary
Roberto Bobby Barrera Elementary Stem Magnet,"Laughlin Afb, TX",,1175.0,PK-5,155,16:1,"Roberto Bobby Barrera Elementary Stem Magnet is a  school located in Laughlin Afb, TX, which is in a remote town setting.  The student population of Roberto Bobby Barrera Elementary Stem Magnet is 155,...",118,Roberto Bobby Barrera Elementary StemMagnet
Aspermont Elementary,"Aspermont, TX",Aspermont Independent School District,1176.0,PK-5,94,11:1,"Aspermont Elementary is a  school located in Aspermont, TX, which is in a remote rural setting.  The student population of Aspermont Elementary is 94, and the school serves PK through 5 At Aspermont Elementary,...",118,AspermontElementary
Smith Elementary,"Austin, TX",Del Valle Independent School District,1177.0,PK-5,560,15:1,"Smith Elementary is a  school located in Austin, TX, which is in a large city setting.  The student population of Smith Elementary is 560, and the school serves PK through 5 At Smith Elementary, 44% scored...",118,SmithElementary
Startzville Elementary,"Canyon Lake, TX",Comal Independent School District,1178.0,PK-5,462,12:1,"Startzville Elementary is a  school located in Canyon Lake, TX, which is in a fringe town setting.  The student population of Startzville Elementary is 462, and the school serves PK through 5 At Startzville...",118,StartzvilleElementary
